Cluster,Number of Papers,Top Terms,Papers
0,5,"be, battery, model, system","['paper_70_abstract.txt', 'paper_55_abstract.txt', 'paper_49_abstract.txt', 'paper_74_abstract.txt', 'paper_42_abstract.txt']"
1,5,"water, wound, seawater, burn","['paper_65_abstract.txt', 'paper_25_abstract.txt', 'paper_71_abstract.txt', 'paper_34_abstract.txt', 'paper_20_abstract.txt']"
2,6,"ammonia, green, hydrogen, production","['paper_22_abstract.txt', 'paper_12_abstract.txt', 'paper_5_abstract.txt', 'paper_19_abstract.txt', 'paper_61_abstract.txt', 'paper_17_abstract.txt']"
3,4,"pv, technique, voltage, tracking","['paper_40_abstract.txt', 'paper_6_abstract.txt', 'paper_60_abstract.txt', 'paper_51_abstract.txt']"
4,9,"hydrogen, energy, gas, fuel","['paper_37_abstract.txt', 'paper_64_abstract.txt', 'paper_15_abstract.txt', 'paper_39_abstract.txt', 'paper_21_abstract.txt', 'paper_66_abstract.txt', 'paper_35_abstract.txt', 'paper_32_abstract.txt', 'paper_16_abstract.txt']"
5,6,"environmental, innovation, development, energy","['paper_13_abstract.txt', 'paper_29_abstract.txt', 'paper_28_abstract.txt', 'paper_38_abstract.txt', 'paper_48_abstract.txt', 'paper_7_abstract.txt']"
6,6,"sib, battery, electrode, anode","['paper_77_abstract.txt', 'paper_41_abstract.txt', 'paper_1_abstract.txt', 'paper_57_abstract.txt', 'paper_50_abstract.txt', 'paper_44_abstract.txt']"
7,5,"solar, pv, desalination, sdg","['paper_14_abstract.txt', 'paper_31_abstract.txt', 'paper_8_abstract.txt', 'paper_2_abstract.txt', 'paper_75_abstract.txt']"
8,9,"grid, energy, system, storage","['paper_30_abstract.txt', 'paper_54_abstract.txt', 'paper_53_abstract.txt', 'paper_76_abstract.txt', 'paper_63_abstract.txt', 'paper_59_abstract.txt', 'paper_33_abstract.txt', 'paper_43_abstract.txt', 'paper_11_abstract.txt']"
9,2,"estimation, state, soc, inaekf","['paper_47_abstract.txt', 'paper_73_abstract.txt']"
10,6,"oxygen, pt, cm, catalyst","['paper_62_abstract.txt', 'paper_46_abstract.txt', 'paper_36_abstract.txt', 'paper_58_abstract.txt', 'paper_45_abstract.txt', 'paper_72_abstract.txt']"
11,8,"wind, data, method, forecasting","['paper_9_abstract.txt', 'paper_23_abstract.txt', 'paper_52_abstract.txt', 'paper_3_abstract.txt', 'paper_4_abstract.txt', 'paper_26_abstract.txt', 'paper_27_abstract.txt', 'paper_56_abstract.txt']"
12,5,"catalyst, synthesis, nanoparticles, site","['paper_24_abstract.txt', 'paper_69_abstract.txt', 'paper_68_abstract.txt', 'paper_79_abstract.txt', 'paper_67_abstract.txt']"
